time,city,type,epa_amt,local_amt,moea_amt
2018/2/1,桃園市,新購,3500,18500,10000
2018/3/1,桃園市,新購,3500,18500,10000
2018/4/1,桃園市,新購,3500,18500,10000
2018/5/1,桃園市,新購,3500,18500,10000
2018/6/1,桃園市,新購,3500,18500,10000
2018/7/1,桃園市,新購,3500,18500,10000
2018/8/1,桃園市,新購,3500,18500,10000
2018/9/1,桃園市,新購,3500,18500,10000
2018/10/1,桃園市,新購,3500,18500,10000
2018/11/1,桃園市,新購,3500,18500,10000
2018/12/1,桃園市,新購,3500,18500,10000
2019/1/1,桃園市,新購,3000,18000,10000
2019/2/1,桃園市,新購,3000,18000,10000
2019/3/1,桃園市,新購,3000,18000,10000
2019/4/1,桃園市,新購,3000,18000,10000
2019/5/1,桃園市,新購,3000,18000,10000
2019/6/1,桃園市,新購,3000,18000,10000
2019/7/1,桃園市,新購,3000,18000,10000
2019/8/1,桃園市,新購,3000,18000,10000
2019/9/1,桃園市,新購,3000,18000,10000
2019/10/1,桃園市,新購,3000,18000,10000
2019/11/1,桃園市,新購,3000,18000,10000
2019/12/1,桃園市,新購,3000,18000,10000
2015/8/1,臺中市,新購,5000,0,10000
2015/9/1,臺中市,新購,5000,0,10000
2015/10/1,臺中市,新購,5000,0,10000
2015/11/1,臺中市,新購,5000,0,10000
2015/12/1,臺中市,新購,5000,0,10000
2016/1/1,臺中市,新購,4000,0,10000
2016/2/1,臺中市,新購,4000,0,10000
2016/3/1,臺中市,新購,4000,0,10000
2016/4/1,臺中市,新購,4000,0,10000
2016/5/1,臺中市,新購,4000,0,10000
2016/6/1,臺中市,新購,4000,0,10000
2016/7/1,臺中市,新購,4000,0,10000
2016/8/1,臺中市,新購,4000,0,10000
2016/9/1,臺中市,新購,4000,0,10000
2016/10/1,臺中市,新購,4000,0,10000
2016/11/1,臺中市,新購,4000,0,10000
2016/12/1,臺中市,新購,4000,0,10000
2017/1/1,臺中市,新購,4000,0,10000
2017/2/1,臺中市,新購,4000,0,10000
2017/3/1,臺中市,新購,4000,0,10000
2017/4/1,臺中市,新購,4000,0,10000
2017/5/1,臺中市,新購,4000,0,10000
2017/6/1,臺中市,新購,4000,0,10000
2017/7/1,臺中市,新購,4000,0,10000
2017/8/1,臺中市,新購,4000,0,10000
2017/9/1,臺中市,新購,4000,0,10000
2017/10/1,臺中市,新購,4000,0,10000
2017/11/1,臺中市,新購,4000,0,10000
2017/12/1,臺中市,新購,3500,0,10000
2018/1/1,臺中市,新購,3500,0,10000
2018/2/1,臺中市,新購,3500,0,10000
2018/3/1,臺中市,新購,3500,0,10000
2018/4/1,臺中市,新購,3500,0,10000
2018/5/1,臺中市,新購,3500,0,10000
2018/6/1,臺中市,新購,3500,0,10000
2018/7/1,臺中市,新購,3500,0,10000
2018/8/1,臺中市,新購,3500,0,10000
2018/9/1,臺中市,新購,3500,0,10000
2018/10/1,臺中市,新購,3500,0,10000
2018/11/1,臺中市,新購,3500,0,10000
2018/12/1,臺中市,新購,3500,0,10000
2019/1/1,臺中市,新購,3000,0,10000
2019/2/1,臺中市,新購,3000,0,10000
2019/3/1,臺中市,新購,3000,0,10000
2019/4/1,臺中市,新購,3000,0,10000
2019/5/1,臺中市,新購,3000,0,10000
2019/6/1,臺中市,新購,3000,0,10000
2019/7/1,臺中市,新購,3000,0,10000
2019/8/1,臺中市,新購,3000,0,10000
2019/9/1,臺中市,新購,3000,0,10000
2019/10/1,臺中市,新購,3000,0,10000
2019/11/1,臺中市,新購,3000,0,10000
2019/12/1,臺中市,新購,3000,0,10000
2015/8/1,臺南市,新購,5000,0,10000
2015/9/1,臺南市,新購,5000,0,10000
2015/10/1,臺南市,新購,5000,0,10000
2015/11/1,臺南市,新購,5000,0,10000
2015/12/1,臺南市,新購,5000,0,10000
2016/1/1,臺南市,新購,4000,0,10000
2016/2/1,臺南市,新購,4000,0,10000
2016/3/1,臺南市,新購,4000,0,10000
2016/4/1,臺南市,新購,4000,0,10000
2016/5/1,臺南市,新購,4000,0,10000
2016/6/1,臺南市,新購,4000,0,10000
2016/7/1,臺南市,新購,4000,0,10000
2016/8/1,臺南市,新購,4000,0,10000
2016/9/1,臺南市,新購,4000,0,10000
2016/10/1,臺南市,新購,4000,0,10000
2016/11/1,臺南市,新購,4000,0,10000
2016/12/1,臺南市,新購,4000,0,10000
2017/1/1,臺南市,新購,4000,0,10000
2017/2/1,臺南市,新購,4000,0,10000
2017/3/1,臺南市,新購,4000,0,10000
2017/4/1,臺南市,新購,4000,0,10000
2017/5/1,臺南市,新購,4000,0,10000
2017/6/1,臺南市,新購,4000,0,10000
2017/7/1,臺南市,新購,4000,0,10000
2017/8/1,臺南市,新購,4000,0,10000
2017/9/1,臺南市,新購,4000,0,10000
2017/10/1,臺南市,新購,4000,0,10000
2017/11/1,臺南市,新購,4000,0,10000
2017/12/1,臺南市,新購,3500,0,10000
2018/1/1,臺南市,新購,3500,0,10000
2018/2/1,臺南市,新購,3500,0,10000
2018/3/1,臺南市,新購,3500,0,10000
2018/4/1,臺南市,新購,3500,0,10000
2018/5/1,臺南市,新購,3500,0,10000
2018/6/1,臺南市,新購,3500,0,10000
2018/7/1,臺南市,新購,3500,0,10000
2018/8/1,臺南市,新購,3500,0,10000
2018/9/1,臺南市,新購,3500,0,10000
2018/10/1,臺南市,新購,3500,0,10000
2018/11/1,臺南市,新購,3500,0,10000
2018/12/1,臺南市,新購,3500,0,10000
2019/1/1,臺南市,新購,3000,0,10000
2019/2/1,臺南市,新購,3000,0,10000
2019/3/1,臺南市,新購,3000,0,10000
2019/4/1,臺南市,新購,3000,0,10000
2019/5/1,臺南市,新購,3000,0,10000
2019/6/1,臺南市,新購,3000,0,10000
2019/7/1,臺南市,新購,3000,0,10000
2019/8/1,臺南市,新購,3000,0,10000
2019/9/1,臺南市,新購,3000,0,10000
2019/10/1,臺南市,新購,3000,0,10000
2019/11/1,臺南市,新購,3000,0,10000
2019/12/1,臺南市,新購,3000,0,10000
2015/8/1,高雄市,新購,5000,7200,10000
2015/9/1,高雄市,新購,5000,7200,10000
2015/10/1,高雄市,新購,5000,7200,10000
2015/11/1,高雄市,新購,5000,7200,10000
2015/12/1,高雄市,新購,5000,7200,10000
2016/1/1,高雄市,新購,4000,4000,10000
2016/2/1,高雄市,新購,4000,4000,10000
2016/3/1,高雄市,新購,4000,4000,10000
2016/4/1,高雄市,新購,4000,4000,10000
2016/5/1,高雄市,新購,4000,4000,10000
2016/6/1,高雄市,新購,4000,4000,10000
2016/7/1,高雄市,新購,4000,4000,10000
2016/8/1,高雄市,新購,4000,4000,10000
2016/9/1,高雄市,新購,4000,4000,10000
2016/10/1,高雄市,新購,4000,4000,10000
2016/11/1,高雄市,新購,4000,4000,10000
2016/12/1,高雄市,新購,4000,4000,10000
2017/1/1,高雄市,新購,4000,4000,10000
2017/2/1,高雄市,新購,4000,4000,10000
2017/3/1,高雄市,新購,4000,4000,10000
2017/4/1,高雄市,新購,4000,4000,10000
2017/5/1,高雄市,新購,4000,4000,10000
2017/6/1,高雄市,新購,4000,4000,10000
2017/7/1,高雄市,新購,4000,4000,10000
2017/8/1,高雄市,新購,4000,4000,10000
2017/9/1,高雄市,新購,4000,4000,10000
2017/10/1,高雄市,新購,4000,4000,10000
2017/11/1,高雄市,新購,4000,4000,10000
2017/12/1,高雄市,新購,3500,4000,10000
2018/1/1,高雄市,新購,3500,4000,10000
2018/2/1,高雄市,新購,3500,4000,10000
2018/3/1,高雄市,新購,3500,4000,10000
2018/4/1,高雄市,新購,3500,4000,10000
2018/5/1,高雄市,新購,3500,4000,10000
2018/6/1,高雄市,新購,3500,4000,10000
2018/7/1,高雄市,新購,3500,4000,10000
2018/8/1,高雄市,新購,3500,4000,10000
2018/9/1,高雄市,新購,3500,4000,10000
2018/10/1,高雄市,新購,3500,4000,10000
2018/11/1,高雄市,新購,3500,4000,10000
2018/12/1,高雄市,新購,3500,4000,10000
2019/1/1,高雄市,新購,3000,4000,10000
2019/2/1,高雄市,新購,3000,4000,10000
2019/3/1,高雄市,新購,3000,4000,10000
2019/4/1,高雄市,新購,3000,4000,10000
2019/5/1,高雄市,新購,3000,4000,10000
2019/6/1,高雄市,新購,3000,4000,10000
2019/7/1,高雄市,新購,3000,4000,10000
2019/8/1,高雄市,新購,3000,4000,10000
2019/9/1,高雄市,新購,3000,4000,10000
2019/10/1,高雄市,新購,3000,4000,10000
2019/11/1,高雄市,新購,3000,4000,10000
2019/12/1,高雄市,新購,3000,4000,10000
2015/8/1,宜蘭縣,新購,5000,6000,10000
2015/9/1,宜蘭縣,新購,5000,6000,10000
2015/10/1,宜蘭縣,新購,5000,6000,10000
2015/11/1,宜蘭縣,新購,5000,6000,10000
2015/12/1,宜蘭縣,新購,5000,6000,10000
2016/1/1,宜蘭縣,新購,4000,6000,10000
2016/2/1,宜蘭縣,新購,4000,6000,10000
2016/3/1,宜蘭縣,新購,4000,6000,10000
2016/4/1,宜蘭縣,新購,4000,6000,10000
2016/5/1,宜蘭縣,新購,4000,6000,10000
2016/6/1,宜蘭縣,新購,4000,6000,10000
2016/7/1,宜蘭縣,新購,4000,6000,10000
2016/8/1,宜蘭縣,新購,4000,6000,10000
2016/9/1,宜蘭縣,新購,4000,6000,10000
2016/10/1,宜蘭縣,新購,4000,6000,10000
2016/11/1,宜蘭縣,新購,4000,6000,10000
2016/12/1,宜蘭縣,新購,4000,6000,10000
2017/1/1,宜蘭縣,新購,4000,3000,10000
2017/2/1,宜蘭縣,新購,4000,3000,10000
2017/3/1,宜蘭縣,新購,4000,3000,10000
2017/4/1,宜蘭縣,新購,4000,3000,10000
2017/5/1,宜蘭縣,新購,4000,3000,10000
2017/6/1,宜蘭縣,新購,4000,3000,10000
2017/7/1,宜蘭縣,新購,4000,3000,10000
2017/8/1,宜蘭縣,新購,4000,3000,10000
2017/9/1,宜蘭縣,新購,4000,3000,10000
2017/10/1,宜蘭縣,新購,4000,3000,10000
2017/11/1,宜蘭縣,新購,4000,3000,10000
2017/12/1,宜蘭縣,新購,3500,3000,10000
2018/1/1,宜蘭縣,新購,3500,6500,10000
2018/2/1,宜蘭縣,新購,3500,6500,10000
2018/3/1,宜蘭縣,新購,3500,6500,10000
2018/4/1,宜蘭縣,新購,3500,6500,10000
2018/5/1,宜蘭縣,新購,3500,6500,10000
2018/6/1,宜蘭縣,新購,3500,6500,10000
2018/7/1,宜蘭縣,新購,3500,6500,10000
2018/8/1,宜蘭縣,新購,3500,6500,10000
2018/9/1,宜蘭縣,新購,3500,6500,10000
2018/10/1,宜蘭縣,新購,3500,6500,10000
2018/11/1,宜蘭縣,新購,3500,6500,10000
2018/12/1,宜蘭縣,新購,3500,6500,10000
2019/1/1,宜蘭縣,新購,3000,13000,10000
2019/2/1,宜蘭縣,新購,3000,13000,10000
2019/3/1,宜蘭縣,新購,3000,13000,10000
2019/4/1,宜蘭縣,新購,3000,13000,10000
2019/5/1,宜蘭縣,新購,3000,13000,10000
2019/6/1,宜蘭縣,新購,3000,13000,10000
2019/7/1,宜蘭縣,新購,3000,13000,10000
2019/8/1,宜蘭縣,新購,3000,13000,10000
2019/9/1,宜蘭縣,新購,3000,13000,10000
2019/10/1,宜蘭縣,新購,3000,13000,10000
2019/11/1,宜蘭縣,新購,3000,13000,10000
2019/12/1,宜蘭縣,新購,3000,13000,10000
2015/8/1,新竹縣,新購,5000,10000,10000
2015/9/1,新竹縣,新購,5000,10000,10000
2015/10/1,新竹縣,新購,5000,10000,10000
2015/11/1,新竹縣,新購,5000,10000,10000
2015/12/1,新竹縣,新購,5000,10000,10000
2016/1/1,新竹縣,新購,4000,1200,10000
2016/2/1,新竹縣,新購,4000,1200,10000
2016/3/1,新竹縣,新購,4000,1200,10000
2016/4/1,新竹縣,新購,4000,1200,10000
2016/5/1,新竹縣,新購,4000,1200,10000
2016/6/1,新竹縣,新購,4000,1200,10000
2016/7/1,新竹縣,新購,4000,1200,10000
2016/8/1,新竹縣,新購,4000,1200,10000
2016/9/1,新竹縣,新購,4000,1200,10000
2016/10/1,新竹縣,新購,4000,1200,10000
2016/11/1,新竹縣,新購,4000,1200,10000
2016/12/1,新竹縣,新購,4000,1200,10000
2017/1/1,新竹縣,新購,4000,1200,10000
2017/2/1,新竹縣,新購,4000,1200,10000
2017/3/1,新竹縣,新購,4000,1200,10000
2017/4/1,新竹縣,新購,4000,1200,10000
2017/5/1,新竹縣,新購,4000,1200,10000
2017/6/1,新竹縣,新購,4000,1200,10000
2017/7/1,新竹縣,新購,4000,1200,10000
2017/8/1,新竹縣,新購,4000,1200,10000
2017/9/1,新竹縣,新購,4000,1200,10000
2017/10/1,新竹縣,新購,4000,1200,10000
2017/11/1,新竹縣,新購,4000,1200,10000
2017/12/1,新竹縣,新購,3500,1200,10000
2018/1/1,新竹縣,新購,3500,1200,10000
2018/2/1,新竹縣,新購,3500,1200,10000
2018/3/1,新竹縣,新購,3500,1200,10000
2018/4/1,新竹縣,新購,3500,1200,10000
2018/5/1,新竹縣,新購,3500,1200,10000
2018/6/1,新竹縣,新購,3500,1200,10000
2018/7/1,新竹縣,新購,3500,1200,10000
2018/8/1,新竹縣,新購,3500,1200,10000
2018/9/1,新竹縣,新購,3500,1200,10000
2018/10/1,新竹縣,新購,3500,1200,10000
2018/11/1,新竹縣,新購,3500,1200,10000
2018/12/1,新竹縣,新購,3500,1200,10000
2019/1/1,新竹縣,新購,3000,10000,10000
2019/2/1,新竹縣,新購,3000,10000,10000
2019/3/1,新竹縣,新購,3000,10000,10000
2019/4/1,新竹縣,新購,3000,10000,10000
2019/5/1,新竹縣,新購,3000,10000,10000
2019/6/1,新竹縣,新購,3000,10000,10000
2019/7/1,新竹縣,新購,3000,10000,10000
