time,fuel,city,registration
2015/1/1,Gasoline,Miaoli County,"326,473"
2015/1/1,Gasoline,Changhua County,"821,026"
2015/1/1,Gasoline,Nantou County,"315,275"
2015/1/1,Gasoline,Yunlin County,"434,530"
2015/1/1,Gasoline,Chiayi County,"331,224"
2015/1/1,Gasoline,Pingtung County,"617,565"
2015/1/1,Gasoline,Taitung County,"154,863"
2015/1/1,Gasoline,Hualien County,"208,246"
2015/1/1,Gasoline,Penghu County,"68,306"
2015/1/1,Gasoline,Keelung City,"179,961"
2015/1/1,Gasoline,Hsinchu City,"255,554"
2015/1/1,Gasoline,Chiayi City,"181,239"
2015/1/1,Gasoline,Kinmen County,"50,910"
2015/1/1,Gasoline,Lienchiang County,"5,579"
2015/1/1,Electricity,New Taipei City,"7,006"
2015/1/1,Electricity,Taipei City,"4,122"
2015/1/1,Electricity,Taoyuan City,"5,227"
2015/1/1,Electricity,Taichung City,"3,426"
2015/1/1,Electricity,Tainan City,"2,555"
2015/1/1,Electricity,Kaohsiung City,"6,558"
2015/1/1,Electricity,Yilan County,338
2015/1/1,Electricity,Hsinchu County,546
2015/1/1,Electricity,Miaoli County,559
2015/1/1,Electricity,Changhua County,"1,400"
2015/1/1,Electricity,Nantou County,"1,076"
2015/1/1,Electricity,Yunlin County,842
2015/1/1,Electricity,Chiayi County,473
2015/1/1,Electricity,Pingtung County,"1,232"
2015/1/1,Electricity,Taitung County,"1,225"
2015/1/1,Electricity,Hualien County,247
2015/1/1,Electricity,Penghu County,"3,383"
2015/1/1,Electricity,Keelung City,193
2015/1/1,Electricity,Hsinchu City,825
2015/1/1,Electricity,Chiayi City,683
2015/1/1,Electricity,Kinmen County,397
2015/1/1,Electricity,Lienchiang County,8
2015/2/1,Gasoline,New Taipei City,"2,176,233"
2015/2/1,Gasoline,Taipei City,"976,237"
2015/2/1,Gasoline,Taoyuan City,"1,092,377"
2015/2/1,Gasoline,Taichung City,"1,646,908"
2015/2/1,Gasoline,Tainan City,"1,285,195"
2015/2/1,Gasoline,Kaohsiung City,"2,006,353"
2015/2/1,Gasoline,Yilan County,"271,816"
2015/2/1,Gasoline,Hsinchu County,"277,484"
2015/2/1,Gasoline,Miaoli County,"326,723"
2015/2/1,Gasoline,Changhua County,"820,931"
2015/2/1,Gasoline,Nantou County,"315,266"
2015/2/1,Gasoline,Yunlin County,"433,666"
2015/2/1,Gasoline,Chiayi County,"330,469"
2015/2/1,Gasoline,Pingtung County,"617,949"
2015/2/1,Gasoline,Taitung County,"154,717"
2015/2/1,Gasoline,Hualien County,"207,356"
2015/2/1,Gasoline,Penghu County,"68,128"
2015/2/1,Gasoline,Keelung City,"180,032"
2015/2/1,Gasoline,Hsinchu City,"255,920"
2015/2/1,Gasoline,Chiayi City,"181,170"
2015/2/1,Gasoline,Kinmen County,"51,138"
2015/2/1,Gasoline,Lienchiang County,"5,583"
2015/2/1,Electricity,New Taipei City,"6,868"
2015/2/1,Electricity,Taipei City,"4,131"
2015/2/1,Electricity,Taoyuan City,"5,304"
2015/2/1,Electricity,Taichung City,"3,441"
2015/2/1,Electricity,Tainan City,"2,553"
2015/2/1,Electricity,Kaohsiung City,"6,571"
2015/2/1,Electricity,Yilan County,328
2015/2/1,Electricity,Hsinchu County,551
2015/2/1,Electricity,Miaoli County,561
2015/2/1,Electricity,Changhua County,"1,414"
2015/2/1,Electricity,Nantou County,"1,078"
2015/2/1,Electricity,Yunlin County,843
2015/2/1,Electricity,Chiayi County,475
2015/2/1,Electricity,Pingtung County,"1,335"
2015/2/1,Electricity,Taitung County,"1,227"
2015/2/1,Electricity,Hualien County,237
2015/2/1,Electricity,Penghu County,"3,471"
2015/2/1,Electricity,Keelung City,195
2015/2/1,Electricity,Hsinchu City,834
2015/2/1,Electricity,Chiayi City,683
2015/2/1,Electricity,Kinmen County,406
2015/2/1,Electricity,Lienchiang County,8
2015/3/1,Gasoline,New Taipei City,"2,178,633"
2015/3/1,Gasoline,Taipei City,"977,886"
2015/3/1,Gasoline,Taoyuan City,"1,095,405"
2015/3/1,Gasoline,Taichung City,"1,625,357"
2015/3/1,Gasoline,Tainan City,"1,285,931"
2015/3/1,Gasoline,Kaohsiung City,"2,010,670"
2015/3/1,Gasoline,Yilan County,"272,013"
2015/3/1,Gasoline,Hsinchu County,"278,331"
2015/3/1,Gasoline,Miaoli County,"327,436"
2015/3/1,Gasoline,Changhua County,"822,251"
2015/3/1,Gasoline,Nantou County,"315,001"
2015/3/1,Gasoline,Yunlin County,"434,448"
2015/3/1,Gasoline,Chiayi County,"330,747"
2015/3/1,Gasoline,Pingtung County,"619,170"
2015/3/1,Gasoline,Taitung County,"153,740"
2015/3/1,Gasoline,Hualien County,"204,864"
2015/3/1,Gasoline,Penghu County,"68,775"
2015/3/1,Gasoline,Keelung City,"180,363"
2015/3/1,Gasoline,Hsinchu City,"256,680"
2015/3/1,Gasoline,Chiayi City,"181,526"
2015/3/1,Gasoline,Kinmen County,"51,894"
2015/3/1,Gasoline,Lienchiang County,"5,613"
2015/3/1,Electricity,New Taipei City,"6,868"
2015/3/1,Electricity,Taipei City,"4,181"
2015/3/1,Electricity,Taoyuan City,"5,527"
2015/3/1,Electricity,Taichung City,"3,457"
2015/3/1,Electricity,Tainan City,"2,568"
2015/3/1,Electricity,Kaohsiung City,"6,607"
2015/3/1,Electricity,Yilan County,326
2015/3/1,Electricity,Hsinchu County,563
2015/3/1,Electricity,Miaoli County,563
2015/3/1,Electricity,Changhua County,"1,430"
2015/3/1,Electricity,Nantou County,"1,083"
2015/3/1,Electricity,Yunlin County,844
2015/3/1,Electricity,Chiayi County,479
2015/3/1,Electricity,Pingtung County,"1,339"
2015/3/1,Electricity,Taitung County,"1,492"
2015/3/1,Electricity,Hualien County,237
2015/3/1,Electricity,Penghu County,"3,473"
2015/3/1,Electricity,Keelung City,195
2015/3/1,Electricity,Hsinchu City,847
2015/3/1,Electricity,Chiayi City,684
2015/3/1,Electricity,Kinmen County,408
2015/3/1,Electricity,Lienchiang County,8
2015/4/1,Gasoline,New Taipei City,"2,178,416"
2015/4/1,Gasoline,Taipei City,"977,332"
2015/4/1,Gasoline,Taoyuan City,"1,096,381"
2015/4/1,Gasoline,Taichung City,"1,637,280"
2015/4/1,Gasoline,Tainan City,"1,285,713"
2015/4/1,Gasoline,Kaohsiung City,"2,011,199"
2015/4/1,Gasoline,Yilan County,"272,264"
2015/4/1,Gasoline,Hsinchu County,"278,548"
2015/4/1,Gasoline,Miaoli County,"327,162"
2015/4/1,Gasoline,Changhua County,"820,554"
2015/4/1,Gasoline,Nantou County,"313,924"
2015/4/1,Gasoline,Yunlin County,"433,889"
2015/4/1,Gasoline,Chiayi County,"330,575"
2015/4/1,Gasoline,Pingtung County,"619,040"
2015/4/1,Gasoline,Taitung County,"153,278"
2015/4/1,Gasoline,Hualien County,"204,724"
2015/4/1,Gasoline,Penghu County,"69,173"
2015/4/1,Gasoline,Keelung City,"180,533"
2015/4/1,Gasoline,Hsinchu City,"256,510"
2015/4/1,Gasoline,Chiayi City,"181,436"
2015/4/1,Gasoline,Kinmen County,"51,885"
2015/4/1,Gasoline,Lienchiang County,"5,639"
2015/4/1,Electricity,New Taipei City,"6,851"
2015/4/1,Electricity,Taipei City,"4,201"
2015/4/1,Electricity,Taoyuan City,"5,626"
2015/4/1,Electricity,Taichung City,"3,513"
2015/4/1,Electricity,Tainan City,"2,573"
2015/4/1,Electricity,Kaohsiung City,"6,626"
2015/4/1,Electricity,Yilan County,327
2015/4/1,Electricity,Hsinchu County,570
2015/4/1,Electricity,Miaoli County,566
2015/4/1,Electricity,Changhua County,"1,443"
2015/4/1,Electricity,Nantou County,"1,081"
2015/4/1,Electricity,Yunlin County,865
2015/4/1,Electricity,Chiayi County,481
2015/4/1,Electricity,Pingtung County,"1,347"
2015/4/1,Electricity,Taitung County,"1,499"
2015/4/1,Electricity,Hualien County,237
2015/4/1,Electricity,Penghu County,"3,471"
2015/4/1,Electricity,Keelung City,196
2015/4/1,Electricity,Hsinchu City,848
2015/4/1,Electricity,Chiayi City,697
2015/4/1,Electricity,Kinmen County,408
2015/4/1,Electricity,Lienchiang County,8
2015/5/1,Gasoline,New Taipei City,"2,179,344"
2015/5/1,Gasoline,Taipei City,"974,767"
2015/5/1,Gasoline,Taoyuan City,"1,099,086"
2015/5/1,Gasoline,Taichung City,"1,639,126"
2015/5/1,Gasoline,Tainan City,"1,285,353"
2015/5/1,Gasoline,Kaohsiung City,"2,009,248"
2015/5/1,Gasoline,Yilan County,"272,307"
2015/5/1,Gasoline,Hsinchu County,"279,164"
2015/5/1,Gasoline,Miaoli County,"327,603"
2015/5/1,Gasoline,Changhua County,"820,907"
2015/5/1,Gasoline,Nantou County,"313,270"
2015/5/1,Gasoline,Yunlin County,"433,182"
2015/5/1,Gasoline,Chiayi County,"330,146"
2015/5/1,Gasoline,Pingtung County,"618,551"
2015/5/1,Gasoline,Taitung County,"152,515"
2015/5/1,Gasoline,Hualien County,"204,580"
2015/5/1,Gasoline,Penghu County,"69,278"
2015/5/1,Gasoline,Keelung City,"180,611"
2015/5/1,Gasoline,Hsinchu City,"256,753"
2015/5/1,Gasoline,Chiayi City,"181,357"
2015/5/1,Gasoline,Kinmen County,"52,162"
2015/5/1,Gasoline,Lienchiang County,"5,657"
2015/5/1,Electricity,New Taipei City,"6,875"
2015/5/1,Electricity,Taipei City,"4,213"
2015/5/1,Electricity,Taoyuan City,"5,733"
2015/5/1,Electricity,Taichung City,"3,558"
2015/5/1,Electricity,Tainan City,"2,572"
2015/5/1,Electricity,Kaohsiung City,"6,666"
2015/5/1,Electricity,Yilan County,322
2015/5/1,Electricity,Hsinchu County,572
2015/5/1,Electricity,Miaoli County,564
2015/5/1,Electricity,Changhua County,"1,457"
2015/5/1,Electricity,Nantou County,"1,082"
2015/5/1,Electricity,Yunlin County,877
2015/5/1,Electricity,Chiayi County,484
2015/5/1,Electricity,Pingtung County,"1,349"
2015/5/1,Electricity,Taitung County,"1,502"
2015/5/1,Electricity,Hualien County,234
2015/5/1,Electricity,Penghu County,"3,469"
2015/5/1,Electricity,Keelung City,191
2015/5/1,Electricity,Hsinchu City,855
2015/5/1,Electricity,Chiayi City,701
2015/5/1,Electricity,Kinmen County,407
2015/5/1,Electricity,Lienchiang County,108
2015/6/1,Gasoline,New Taipei City,"2,179,124"
2015/6/1,Gasoline,Taipei City,"974,524"
2015/6/1,Gasoline,Taoyuan City,"1,093,017"
2015/6/1,Gasoline,Taichung City,"1,640,400"
2015/6/1,Gasoline,Tainan City,"1,285,446"
2015/6/1,Gasoline,Kaohsiung City,"2,008,829"
2015/6/1,Gasoline,Yilan County,"272,167"
2015/6/1,Gasoline,Hsinchu County,"276,280"
2015/6/1,Gasoline,Miaoli County,"322,093"
2015/6/1,Gasoline,Changhua County,"819,333"
2015/6/1,Gasoline,Nantou County,"313,212"
2015/6/1,Gasoline,Yunlin County,"432,643"
2015/6/1,Gasoline,Chiayi County,"329,297"
2015/6/1,Gasoline,Pingtung County,"617,715"
2015/6/1,Gasoline,Taitung County,"152,531"
2015/6/1,Gasoline,Hualien County,"203,317"
2015/6/1,Gasoline,Penghu County,"69,362"
2015/6/1,Gasoline,Keelung City,"180,693"
2015/6/1,Gasoline,Hsinchu City,"254,323"
2015/6/1,Gasoline,Chiayi City,"181,372"
2015/6/1,Gasoline,Kinmen County,"52,531"
2015/6/1,Gasoline,Lienchiang County,"5,696"
2015/6/1,Electricity,New Taipei City,"6,776"
2015/6/1,Electricity,Taipei City,"4,233"
2015/6/1,Electricity,Taoyuan City,"5,838"
2015/6/1,Electricity,Taichung City,"3,593"
2015/6/1,Electricity,Tainan City,"2,565"
2015/6/1,Electricity,Kaohsiung City,"6,658"
2015/6/1,Electricity,Yilan County,302
2015/6/1,Electricity,Hsinchu County,567
2015/6/1,Electricity,Miaoli County,559
2015/6/1,Electricity,Changhua County,"1,469"
2015/6/1,Electricity,Nantou County,"1,080"
2015/6/1,Electricity,Yunlin County,891
2015/6/1,Electricity,Chiayi County,487
2015/6/1,Electricity,Pingtung County,"1,350"
2015/6/1,Electricity,Taitung County,"1,616"
2015/6/1,Electricity,Hualien County,225
2015/6/1,Electricity,Penghu County,"3,469"
2015/6/1,Electricity,Keelung City,181
2015/6/1,Electricity,Hsinchu City,854
2015/6/1,Electricity,Chiayi City,707
2015/6/1,Electricity,Kinmen County,407
2015/6/1,Electricity,Lienchiang County,108
2015/7/1,Gasoline,New Taipei City,"2,175,006"
2015/7/1,Gasoline,Taipei City,"969,701"
2015/7/1,Gasoline,Taoyuan City,"1,093,503"
2015/7/1,Gasoline,Taichung City,"1,636,664"
2015/7/1,Gasoline,Tainan City,"1,281,286"
2015/7/1,Gasoline,Kaohsiung City,"2,003,046"
2015/7/1,Gasoline,Yilan County,"271,672"
2015/7/1,Gasoline,Hsinchu County,"276,275"
2015/7/1,Gasoline,Miaoli County,"320,562"
2015/7/1,Gasoline,Changhua County,"815,803"
2015/7/1,Gasoline,Nantou County,"311,675"
2015/7/1,Gasoline,Yunlin County,"429,004"
2015/7/1,Gasoline,Chiayi County,"327,468"
2015/7/1,Gasoline,Pingtung County,"615,560"
2015/7/1,Gasoline,Taitung County,"152,073"
2015/7/1,Gasoline,Hualien County,"202,804"
2015/7/1,Gasoline,Penghu County,"68,841"
2015/7/1,Gasoline,Keelung City,"180,667"
2015/7/1,Gasoline,Hsinchu City,"254,064"
2015/7/1,Gasoline,Chiayi City,"180,827"
2015/7/1,Gasoline,Kinmen County,"52,798"
2015/7/1,Gasoline,Lienchiang County,"5,719"
2015/7/1,Electricity,New Taipei City,"6,775"
2015/7/1,Electricity,Taipei City,"4,319"
2015/7/1,Electricity,Taoyuan City,"5,975"
2015/7/1,Electricity,Taichung City,"3,662"
2015/7/1,Electricity,Tainan City,"2,572"
2015/7/1,Electricity,Kaohsiung City,"6,697"
2015/7/1,Electricity,Yilan County,304
2015/7/1,Electricity,Hsinchu County,572
2015/7/1,Electricity,Miaoli County,558
2015/7/1,Electricity,Changhua County,"1,484"
2015/7/1,Electricity,Nantou County,"1,067"
2015/7/1,Electricity,Yunlin County,902
2015/7/1,Electricity,Chiayi County,492
2015/7/1,Electricity,Pingtung County,"1,360"
2015/7/1,Electricity,Taitung County,"1,732"
2015/7/1,Electricity,Hualien County,228
2015/7/1,Electricity,Penghu County,"3,469"
2015/7/1,Electricity,Keelung City,181
2015/7/1,Electricity,Hsinchu City,856
2015/7/1,Electricity,Chiayi City,714
2015/7/1,Electricity,Kinmen County,409
2015/7/1,Electricity,Lienchiang County,208
2015/8/1,Gasoline,New Taipei City,"2,176,590"
2015/8/1,Gasoline,Taipei City,"969,291"
2015/8/1,Gasoline,Taoyuan City,"1,095,895"
2015/8/1,Gasoline,Taichung City,"1,639,087"
2015/8/1,Gasoline,Tainan City,"1,281,515"
2015/8/1,Gasoline,Kaohsiung City,"1,993,919"
2015/8/1,Gasoline,Yilan County,"270,546"
2015/8/1,Gasoline,Hsinchu County,"276,873"
2015/8/1,Gasoline,Miaoli County,"320,679"
2015/8/1,Gasoline,Changhua County,"815,755"
2015/8/1,Gasoline,Nantou County,"311,501"
2015/8/1,Gasoline,Yunlin County,"428,864"
2015/8/1,Gasoline,Chiayi County,"327,339"
2015/8/1,Gasoline,Pingtung County,"615,426"
2015/8/1,Gasoline,Taitung County,"151,963"
2015/8/1,Gasoline,Hualien County,"202,379"
2015/8/1,Gasoline,Penghu County,"68,837"
2015/8/1,Gasoline,Keelung City,"180,911"
2015/8/1,Gasoline,Hsinchu City,"254,284"
2015/8/1,Gasoline,Chiayi City,"181,080"
2015/8/1,Gasoline,Kinmen County,"53,134"
2015/8/1,Gasoline,Lienchiang County,"5,740"
2015/8/1,Electricity,New Taipei City,"7,037"
2015/8/1,Electricity,Taipei City,"4,529"
2015/8/1,Electricity,Taoyuan City,"6,108"
2015/8/1,Electricity,Taichung City,"3,697"
2015/8/1,Electricity,Tainan City,"2,573"
2015/8/1,Electricity,Kaohsiung City,"6,721"
2015/8/1,Electricity,Yilan County,304
2015/8/1,Electricity,Hsinchu County,573
2015/8/1,Electricity,Miaoli County,560
2015/8/1,Electricity,Changhua County,"1,495"
2015/8/1,Electricity,Nantou County,"1,072"
2015/8/1,Electricity,Yunlin County,914
2015/8/1,Electricity,Chiayi County,493
2015/8/1,Electricity,Pingtung County,"1,522"
2015/8/1,Electricity,Taitung County,"1,749"
2015/8/1,Electricity,Hualien County,227
2015/8/1,Electricity,Penghu County,"3,462"
2015/8/1,Electricity,Keelung City,184
2015/8/1,Electricity,Hsinchu City,864
2015/8/1,Electricity,Chiayi City,719
2015/8/1,Electricity,Kinmen County,410
2015/8/1,Electricity,Lienchiang County,208
2015/9/1,Gasoline,New Taipei City,"2,181,367"
2015/9/1,Gasoline,Taipei City,"970,649"
2015/9/1,Gasoline,Taoyuan City,"1,099,288"
2015/9/1,Gasoline,Taichung City,"1,643,601"
2015/9/1,Gasoline,Tainan City,"1,283,350"
2015/9/1,Gasoline,Kaohsiung City,"1,995,513"
2015/9/1,Gasoline,Yilan County,"271,107"
2015/9/1,Gasoline,Hsinchu County,"277,758"
2015/9/1,Gasoline,Miaoli County,"321,462"
2015/9/1,Gasoline,Changhua County,"816,925"
2015/9/1,Gasoline,Nantou County,"312,069"
2015/9/1,Gasoline,Yunlin County,"429,669"
2015/9/1,Gasoline,Chiayi County,"327,691"
2015/9/1,Gasoline,Pingtung County,"616,186"
2015/9/1,Gasoline,Taitung County,"152,004"
2015/9/1,Gasoline,Hualien County,"202,631"
2015/9/1,Gasoline,Penghu County,"68,608"
2015/9/1,Gasoline,Keelung City,"181,345"
2015/9/1,Gasoline,Hsinchu City,"254,898"
2015/9/1,Gasoline,Chiayi City,"181,370"
2015/9/1,Gasoline,Kinmen County,"53,566"
2015/9/1,Gasoline,Lienchiang County,"5,755"
2015/9/1,Electricity,New Taipei City,"7,211"
2015/9/1,Electricity,Taipei City,"4,694"
2015/9/1,Electricity,Taoyuan City,"6,546"
2015/9/1,Electricity,Taichung City,"3,716"
2015/9/1,Electricity,Tainan City,"2,582"
2015/9/1,Electricity,Kaohsiung City,"6,648"
2015/9/1,Electricity,Yilan County,309
2015/9/1,Electricity,Hsinchu County,574
2015/9/1,Electricity,Miaoli County,561
2015/9/1,Electricity,Changhua County,"1,516"
2015/9/1,Electricity,Nantou County,"1,073"
2015/9/1,Electricity,Yunlin County,932
2015/9/1,Electricity,Chiayi County,497
2015/9/1,Electricity,Pingtung County,"1,531"
2015/9/1,Electricity,Taitung County,"1,768"
2015/9/1,Electricity,Hualien County,229
2015/9/1,Electricity,Penghu County,"3,457"
2015/9/1,Electricity,Keelung City,183
2015/9/1,Electricity,Hsinchu City,864
2015/9/1,Electricity,Chiayi City,727
2015/9/1,Electricity,Kinmen County,410
2015/9/1,Electricity,Lienchiang County,208
2015/10/1,Gasoline,New Taipei City,"2,176,594"
2015/10/1,Gasoline,Taipei City,"969,745"
2015/10/1,Gasoline,Taoyuan City,"1,100,755"
2015/10/1,Gasoline,Taichung City,"1,645,138"
2015/10/1,Gasoline,Tainan City,"1,282,981"
2015/10/1,Gasoline,Kaohsiung City,"1,993,498"
2015/10/1,Gasoline,Yilan County,"271,263"
2015/10/1,Gasoline,Hsinchu County,"277,722"
2015/10/1,Gasoline,Miaoli County,"321,418"
2015/10/1,Gasoline,Changhua County,"816,524"
2015/10/1,Gasoline,Nantou County,"311,839"
2015/10/1,Gasoline,Yunlin County,"429,226"
2015/10/1,Gasoline,Chiayi County,"327,288"
2015/10/1,Gasoline,Pingtung County,"615,434"
2015/10/1,Gasoline,Taitung County,"151,902"
2015/10/1,Gasoline,Hualien County,"202,633"
2015/10/1,Gasoline,Penghu County,"68,406"
2015/10/1,Gasoline,Keelung City,"181,528"
2015/10/1,Gasoline,Hsinchu City,"255,061"
2015/10/1,Gasoline,Chiayi City,"181,440"
2015/10/1,Gasoline,Kinmen County,"53,813"
2015/10/1,Gasoline,Lienchiang County,"5,765"
2015/10/1,Electricity,New Taipei City,"7,495"
2015/10/1,Electricity,Taipei City,"4,987"
2015/10/1,Electricity,Taoyuan City,"6,820"
2015/10/1,Electricity,Taichung City,"3,776"
2015/10/1,Electricity,Tainan City,"2,626"
2015/10/1,Electricity,Kaohsiung City,"6,773"
2015/10/1,Electricity,Yilan County,313
2015/10/1,Electricity,Hsinchu County,579
2015/10/1,Electricity,Miaoli County,563
2015/10/1,Electricity,Changhua County,"1,532"
2015/10/1,Electricity,Nantou County,"1,081"
2015/10/1,Electricity,Yunlin County,948
2015/10/1,Electricity,Chiayi County,503
2015/10/1,Electricity,Pingtung County,"1,522"
2015/10/1,Electricity,Taitung County,"1,766"
2015/10/1,Electricity,Hualien County,294
2015/10/1,Electricity,Penghu County,"3,453"
2015/10/1,Electricity,Keelung City,184
2015/10/1,Electricity,Hsinchu City,862
2015/10/1,Electricity,Chiayi City,735
2015/10/1,Electricity,Kinmen County,411
2015/10/1,Electricity,Lienchiang County,208
2015/11/1,Gasoline,New Taipei City,"2,174,321"
2015/11/1,Gasoline,Taipei City,"965,630"
2015/11/1,Gasoline,Taoyuan City,"1,101,929"
2015/11/1,Gasoline,Taichung City,"1,647,276"
2015/11/1,Gasoline,Tainan City,"1,283,756"
2015/11/1,Gasoline,Kaohsiung City,"1,993,559"
2015/11/1,Gasoline,Yilan County,"271,198"
2015/11/1,Gasoline,Hsinchu County,"278,156"
2015/11/1,Gasoline,Miaoli County,"321,647"
2015/11/1,Gasoline,Changhua County,"815,980"
2015/11/1,Gasoline,Nantou County,"312,218"
2015/11/1,Gasoline,Yunlin County,"429,065"
2015/11/1,Gasoline,Chiayi County,"327,265"
2015/11/1,Gasoline,Pingtung County,"615,431"
2015/11/1,Gasoline,Taitung County,"151,812"
2015/11/1,Gasoline,Hualien County,"202,331"
2015/11/1,Gasoline,Penghu County,"68,331"
2015/11/1,Gasoline,Keelung City,"181,685"
2015/11/1,Gasoline,Hsinchu City,"255,267"
2015/11/1,Gasoline,Chiayi City,"181,675"
2015/11/1,Gasoline,Kinmen County,"54,092"
2015/11/1,Gasoline,Lienchiang County,"5,714"
2015/11/1,Electricity,New Taipei City,"7,897"
2015/11/1,Electricity,Taipei City,"5,222"
2015/11/1,Electricity,Taoyuan City,"6,993"
2015/11/1,Electricity,Taichung City,"3,837"
2015/11/1,Electricity,Tainan City,"2,679"
2015/11/1,Electricity,Kaohsiung City,"6,782"
2015/11/1,Electricity,Yilan County,320
2015/11/1,Electricity,Hsinchu County,588
2015/11/1,Electricity,Miaoli County,566
2015/11/1,Electricity,Changhua County,"1,561"
2015/11/1,Electricity,Nantou County,"1,089"
2015/11/1,Electricity,Yunlin County,960
2015/11/1,Electricity,Chiayi County,509
2015/11/1,Electricity,Pingtung County,"1,542"
2015/11/1,Electricity,Taitung County,"1,862"
2015/11/1,Electricity,Hualien County,635
2015/11/1,Electricity,Penghu County,"3,442"
2015/11/1,Electricity,Keelung City,189
2015/11/1,Electricity,Hsinchu City,860
2015/11/1,Electricity,Chiayi City,738
2015/11/1,Electricity,Kinmen County,430
2015/11/1,Electricity,Lienchiang County,208
2015/12/1,Gasoline,New Taipei City,"2,169,317"
2015/12/1,Gasoline,Taipei City,"957,083"
2015/12/1,Gasoline,Taoyuan City,"1,101,190"
2015/12/1,Gasoline,Taichung City,"1,647,008"
2015/12/1,Gasoline,Tainan City,"1,281,963"
2015/12/1,Gasoline,Kaohsiung City,"1,990,037"
2015/12/1,Gasoline,Yilan County,"270,577"
2015/12/1,Gasoline,Hsinchu County,"278,011"
2015/12/1,Gasoline,Miaoli County,"321,149"
2015/12/1,Gasoline,Changhua County,"814,982"
2015/12/1,Gasoline,Nantou County,"311,813"
2015/12/1,Gasoline,Yunlin County,"428,093"
2015/12/1,Gasoline,Chiayi County,"326,644"
2015/12/1,Gasoline,Pingtung County,"614,681"
2015/12/1,Gasoline,Taitung County,"151,385"
2015/12/1,Gasoline,Hualien County,"200,713"
2015/12/1,Gasoline,Penghu County,"68,290"
2015/12/1,Gasoline,Keelung City,"180,812"
2015/12/1,Gasoline,Hsinchu City,"254,688"
2015/12/1,Gasoline,Chiayi City,"181,290"
2015/12/1,Gasoline,Kinmen County,"54,263"
2015/12/1,Gasoline,Lienchiang County,"5,703"
2015/12/1,Electricity,New Taipei City,"8,733"
2015/12/1,Electricity,Taipei City,"5,713"
2015/12/1,Electricity,Taoyuan City,"7,555"
2015/12/1,Electricity,Taichung City,"3,868"
2015/12/1,Electricity,Tainan City,"2,736"
2015/12/1,Electricity,Kaohsiung City,"6,760"
2015/12/1,Electricity,Yilan County,319
2015/12/1,Electricity,Hsinchu County,622
2015/12/1,Electricity,Miaoli County,570
2015/12/1,Electricity,Changhua County,"1,582"
2015/12/1,Electricity,Nantou County,"1,091"
2015/12/1,Electricity,Yunlin County,980
2015/12/1,Electricity,Chiayi County,511
2015/12/1,Electricity,Pingtung County,"1,801"
2015/12/1,Electricity,Taitung County,"1,859"
2015/12/1,Electricity,Hualien County,955
2015/12/1,Electricity,Penghu County,"3,495"
2015/12/1,Electricity,Keelung City,194
2015/12/1,Electricity,Hsinchu City,922
2015/12/1,Electricity,Chiayi City,749
2015/12/1,Electricity,Kinmen County,787
2015/12/1,Electricity,Lienchiang County,208
2016/1/1,Gasoline,New Taipei City,"2,167,824"
2016/1/1,Gasoline,Taipei City,"954,212"
2016/1/1,Gasoline,Taoyuan City,"1,101,182"
2016/1/1,Gasoline,Taichung City,"1,647,725"
2016/1/1,Gasoline,Tainan City,"1,281,805"
2016/1/1,Gasoline,Kaohsiung City,"1,990,044"
2016/1/1,Gasoline,Yilan County,"270,382"
2016/1/1,Gasoline,Hsinchu County,"277,984"
2016/1/1,Gasoline,Miaoli County,"320,222"
2016/1/1,Gasoline,Changhua County,"814,823"
2016/1/1,Gasoline,Nantou County,"311,472"
2016/1/1,Gasoline,Yunlin County,"428,024"
2016/1/1,Gasoline,Chiayi County,"326,476"
2016/1/1,Gasoline,Pingtung County,"614,748"
2016/1/1,Gasoline,Taitung County,"151,290"
2016/1/1,Gasoline,Hualien County,"200,303"
2016/1/1,Gasoline,Penghu County,"68,316"
2016/1/1,Gasoline,Keelung City,"180,393"
2016/1/1,Gasoline,Hsinchu City,"254,661"
2016/1/1,Gasoline,Chiayi City,"181,171"
2016/1/1,Gasoline,Kinmen County,"54,457"
2016/1/1,Gasoline,Lienchiang County,"5,711"
2016/1/1,Electricity,New Taipei City,"9,113"
2016/1/1,Electricity,Taipei City,"5,807"
2016/1/1,Electricity,Taoyuan City,"7,813"
2016/1/1,Electricity,Taichung City,"3,883"
2016/1/1,Electricity,Tainan City,"2,745"
2016/1/1,Electricity,Kaohsiung City,"6,993"
2016/1/1,Electricity,Yilan County,320
2016/1/1,Electricity,Hsinchu County,636
2016/1/1,Electricity,Miaoli County,572
2016/1/1,Electricity,Changhua County,"1,586"
2016/1/1,Electricity,Nantou County,"1,090"
2016/1/1,Electricity,Yunlin County,990
2016/1/1,Electricity,Chiayi County,512
2016/1/1,Electricity,Pingtung County,"1,683"
2016/1/1,Electricity,Taitung County,"1,668"
2016/1/1,Electricity,Hualien County,959
2016/1/1,Electricity,Penghu County,"3,485"
2016/1/1,Electricity,Keelung City,198
2016/1/1,Electricity,Hsinchu City,949
2016/1/1,Electricity,Chiayi City,751
2016/1/1,Electricity,Kinmen County,798
2016/1/1,Electricity,Lienchiang County,208
2016/2/1,Gasoline,New Taipei City,"2,168,763"
2016/2/1,Gasoline,Taipei City,"954,329"
2016/2/1,Gasoline,Taoyuan City,"1,101,961"
2016/2/1,Gasoline,Taichung City,"1,648,644"
2016/2/1,Gasoline,Tainan City,"1,282,244"
2016/2/1,Gasoline,Kaohsiung City,"1,990,268"
